"location_id","sensors_id","location","datetime","lat","lon","parameter","units","value"
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T01:00:00+05:45",27.712463,85.315704,"o3","ppm",0.011
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T02:00:00+05:45",27.712463,85.315704,"o3","ppm",0.007
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T03:00:00+05:45",27.712463,85.315704,"o3","ppm",0.004
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T04:00:00+05:45",27.712463,85.315704,"o3","ppm",-0.003
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T05:00:00+05:45",27.712463,85.315704,"o3","ppm",-0.003
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T06:00:00+05:45",27.712463,85.315704,"o3","ppm",-0.005
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T07:00:00+05:45",27.712463,85.315704,"o3","ppm",-0.999
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T08:00:00+05:45",27.712463,85.315704,"o3","ppm",-0.999
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T09:00:00+05:45",27.712463,85.315704,"o3","ppm",0.025
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T10:00:00+05:45",27.712463,85.315704,"o3","ppm",0.049
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T11:00:00+05:45",27.712463,85.315704,"o3","ppm",0.063
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T12:00:00+05:45",27.712463,85.315704,"o3","ppm",-0.999
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T13:00:00+05:45",27.712463,85.315704,"o3","ppm",-0.999
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T14:00:00+05:45",27.712463,85.315704,"o3","ppm",0.051
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T15:00:00+05:45",27.712463,85.315704,"o3","ppm",-0.999
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T16:00:00+05:45",27.712463,85.315704,"o3","ppm",0.062
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T17:00:00+05:45",27.712463,85.315704,"o3","ppm",-0.999
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T18:00:00+05:45",27.712463,85.315704,"o3","ppm",-0.999
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T19:00:00+05:45",27.712463,85.315704,"o3","ppm",0.055
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T20:00:00+05:45",27.712463,85.315704,"o3","ppm",-0.999
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T21:00:00+05:45",27.712463,85.315704,"o3","ppm",-0.999
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T22:00:00+05:45",27.712463,85.315704,"o3","ppm",0.035
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T23:00:00+05:45",27.712463,85.315704,"o3","ppm",-0.999
3460,7712,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-07T00:00:00+05:45",27.712463,85.315704,"o3","ppm",0.033
3460,7711,"US Diplomatic Post: Phora Durbar Kathmandu-3460","2024-05-06T01:00:00+05:45",27.712463,85.315704,"pm25","µg/m³",92.0
