latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
27.732864,85.24719,1293.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),rain (mm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h)
2024-01-01T00:00,6.6,91,5.2,0.00,0.00,1017.3,870.7,0,0.09,4.4,171,14.4
2024-01-01T01:00,6.1,94,5.2,0.00,0.00,1018.7,871.7,0,0.06,4.5,166,15.1
2024-01-01T02:00,7.1,91,5.8,0.00,0.00,1018.9,872.3,0,0.09,5.2,168,14.4
2024-01-01T03:00,11.3,82,8.3,0.00,0.00,1019.5,874.8,0,0.24,4.7,171,14.8
2024-01-01T04:00,14.4,65,8.0,0.00,0.00,1019.8,876.5,0,0.57,1.3,34,11.2
2024-01-01T05:00,15.8,59,7.7,0.00,0.00,1019.0,876.5,0,0.74,3.0,346,13.7
2024-01-01T06:00,16.8,55,7.7,0.00,0.00,1017.6,875.7,0,0.87,5.3,332,18.0
2024-01-01T07:00,17.2,55,8.0,0.00,0.00,1016.1,874.6,0,0.89,7.0,325,21.2
2024-01-01T08:00,17.1,55,8.0,0.00,0.00,1015.2,873.8,2,0.88,7.9,330,22.7
2024-01-01T09:00,16.7,57,8.1,0.00,0.00,1014.6,873.1,4,0.83,7.4,331,22.7
2024-01-01T10:00,15.8,61,8.2,0.00,0.00,1014.4,872.5,6,0.71,5.8,338,20.5
2024-01-01T11:00,14.3,73,9.5,0.00,0.00,1014.9,872.3,3,0.44,2.3,18,16.2
2024-01-01T12:00,13.7,66,7.4,0.00,0.00,1015.6,872.6,3,0.54,2.3,141,8.3
2024-01-01T13:00,11.1,80,7.7,0.00,0.00,1016.6,872.3,2,0.27,1.8,169,5.8
2024-01-01T14:00,10.4,84,7.8,0.00,0.00,1017.1,872.4,1,0.21,1.4,180,6.8
2024-01-01T15:00,10.0,85,7.7,0.00,0.00,1017.8,872.8,1,0.18,2.2,180,7.2
2024-01-01T16:00,9.4,88,7.5,0.00,0.00,1018.3,872.9,0,0.15,2.2,180,8.3
2024-01-01T17:00,9.0,89,7.3,0.00,0.00,1018.3,872.7,2,0.12,2.5,180,8.6
2024-01-01T18:00,8.5,91,7.1,0.00,0.00,1018.1,872.3,10,0.10,3.6,174,10.8
2024-01-01T19:00,7.5,95,6.8,0.00,0.00,1017.4,871.3,33,0.05,4.3,175,12.6
2024-01-01T20:00,6.4,98,6.1,0.00,0.00,1017.1,870.5,79,0.02,5.1,176,14.8
2024-01-01T21:00,4.8,100,4.8,0.00,0.00,1016.5,869.2,100,0.00,5.4,172,16.9
2024-01-01T22:00,4.1,100,4.1,0.00,0.00,1016.5,868.9,100,0.00,6.9,171,19.1
2024-01-01T23:00,3.9,100,3.9,0.00,0.00,1016.5,868.7,100,0.00,8.0,172,20.5
2024-01-02T00:00,3.4,100,3.4,0.00,0.00,1016.9,868.9,100,0.00,7.6,172,20.9
2024-01-02T01:00,3.5,100,3.5,0.00,0.00,1017.8,869.6,100,0.00,8.8,168,22.3
2024-01-02T02:00,4.8,97,4.3,0.00,0.00,1018.3,870.7,17,0.03,7.6,172,22.0
2024-01-02T03:00,9.8,84,7.2,0.00,0.00,1019.1,873.8,0,0.20,5.6,165,19.4
2024-01-02T04:00,13.9,62,6.9,0.00,0.00,1019.5,876.0,0,0.60,0.0,180,13.3
2024-01-02T05:00,15.2,57,6.8,0.00,0.00,1018.6,875.8,0,0.74,4.0,333,14.8
2024-01-02T06:00,16.4,52,6.6,0.00,0.00,1017.2,875.2,0,0.89,5.2,326,18.0
2024-01-02T07:00,17.0,52,7.0,0.00,0.00,1015.6,874.1,0,0.93,6.1,320,19.8
2024-01-02T08:00,17.1,49,6.4,0.10,0.10,1014.6,873.3,7,0.99,6.4,308,20.2
2024-01-02T09:00,16.7,53,7.2,0.00,0.00,1014.4,872.9,11,0.88,6.7,306,20.2
2024-01-02T10:00,15.8,58,7.5,0.00,0.00,1014.4,872.5,8,0.76,6.9,317,19.1
2024-01-02T11:00,14.2,70,8.7,0.00,0.00,1014.7,872.0,2,0.49,3.1,339,17.6
2024-01-02T12:00,13.6,64,7.0,0.00,0.00,1015.4,872.3,0,0.55,2.3,198,9.0
2024-01-02T13:00,11.3,79,7.8,0.00,0.00,1016.9,872.6,3,0.28,2.2,189,10.1
2024-01-02T14:00,10.8,80,7.6,0.00,0.00,1017.2,872.6,0,0.26,2.2,180,7.6
2024-01-02T15:00,10.0,83,7.3,0.00,0.00,1017.4,872.4,0,0.21,3.2,180,9.7
2024-01-02T16:00,9.1,87,7.0,0.00,0.00,1017.9,872.4,2,0.15,2.9,173,10.4
2024-01-02T17:00,8.6,88,6.8,0.00,0.00,1018.0,872.3,23,0.13,2.2,180,9.7
2024-01-02T18:00,8.1,90,6.5,0.00,0.00,1018.1,872.1,37,0.11,2.5,180,9.7
2024-01-02T19:00,7.5,92,6.3,0.00,0.00,1018.3,872.0,53,0.08,3.3,174,11.2
2024-01-02T20:00,6.9,92,5.7,0.00,0.00,1018.0,871.5,85,0.08,4.4,171,13.3
2024-01-02T21:00,5.7,96,5.1,0.00,0.00,1017.6,870.6,98,0.04,5.9,169,16.6
2024-01-02T22:00,5.0,98,4.7,0.00,0.00,1017.4,870.0,100,0.02,7.0,168,18.7
2024-01-02T23:00,4.4,98,4.2,0.00,0.00,1017.3,869.7,100,0.01,7.0,168,18.7
2024-01-03T00:00,3.9,97,3.5,0.00,0.00,1017.7,869.8,100,0.02,7.3,171,19.4
2024-01-03T01:00,3.4,100,3.4,0.00,0.00,1018.5,870.2,100,0.00,7.7,169,21.6
2024-01-03T02:00,4.5,98,4.2,0.00,0.00,1019.3,871.4,15,0.02,6.9,171,20.2
2024-01-03T03:00,9.3,86,7.1,0.00,0.00,1020.2,874.5,1,0.16,5.7,162,18.7
2024-01-03T04:00,13.3,63,6.5,0.00,0.00,1020.2,876.4,40,0.56,1.8,90,14.0
2024-01-03T05:00,14.9,57,6.4,0.00,0.00,1019.3,876.3,9,0.74,1.8,11,11.9
2024-01-03T06:00,16.1,50,5.7,0.00,0.00,1017.8,875.5,1,0.91,3.1,324,14.4
2024-01-03T07:00,16.6,49,5.9,0.00,0.00,1016.3,874.5,26,0.96,4.6,321,16.9
2024-01-03T08:00,16.5,51,6.5,0.00,0.00,1015.3,873.6,32,0.91,5.6,297,18.0
2024-01-03T09:00,15.8,56,7.0,0.00,0.00,1014.9,872.9,17,0.80,6.6,299,19.1
2024-01-03T10:00,15.0,60,7.2,0.00,0.00,1015.2,872.8,13,0.69,5.9,308,18.7
2024-01-03T11:00,13.7,68,7.9,0.00,0.00,1015.3,872.3,15,0.51,2.9,353,15.8
2024-01-03T12:00,12.9,64,6.1,0.00,0.00,1015.6,872.2,18,0.54,2.3,129,8.3
2024-01-03T13:00,11.3,76,7.2,0.00,0.00,1016.2,872.0,3,0.32,1.5,194,9.7
2024-01-03T14:00,10.3,80,7.0,0.00,0.00,1016.5,871.8,3,0.25,2.2,180,6.5
2024-01-03T15:00,9.8,81,6.8,0.00,0.00,1017.1,872.1,0,0.23,2.5,172,6.8
2024-01-03T16:00,9.3,82,6.5,0.00,0.00,1017.6,872.3,0,0.21,3.6,180,10.1
2024-01-03T17:00,8.7,84,6.2,0.00,0.00,1017.5,871.9,0,0.18,4.0,180,11.9
2024-01-03T18:00,8.3,85,5.9,0.00,0.00,1017.2,871.5,0,0.17,3.2,180,11.5
2024-01-03T19:00,8.0,84,5.5,0.00,0.00,1016.8,871.0,0,0.17,3.6,174,11.2
2024-01-03T20:00,7.8,83,5.1,0.00,0.00,1016.4,870.5,0,0.18,3.3,174,11.2
2024-01-03T21:00,7.7,81,4.6,0.00,0.00,1016.3,870.4,0,0.20,3.3,174,10.8
2024-01-03T22:00,7.5,78,4.0,0.00,0.00,1016.2,870.2,0,0.22,2.9,173,10.4
2024-01-03T23:00,7.3,76,3.3,0.00,0.00,1016.4,870.3,0,0.25,2.5,172,10.1
2024-01-04T00:00,7.0,74,2.7,0.00,0.00,1017.2,870.8,0,0.26,2.5,172,9.4
2024-01-04T01:00,6.4,73,2.0,0.00,0.00,1018.5,871.6,0,0.26,2.2,171,11.2
2024-01-04T02:00,7.2,69,1.9,0.00,0.00,1019.2,872.6,0,0.31,2.9,173,10.1
2024-01-04T03:00,10.2,69,4.7,0.00,0.00,1020.1,874.8,0,0.39,3.3,167,10.8
2024-01-04T04:00,13.2,55,4.2,0.00,0.00,1020.5,876.5,0,0.69,1.3,34,9.0
2024-01-04T05:00,14.8,49,4.2,0.00,0.00,1019.5,876.4,0,0.86,2.6,344,12.6
2024-01-04T06:00,15.9,46,4.3,0.00,0.00,1017.7,875.4,0,0.98,4.7,337,16.6
2024-01-04T07:00,16.6,45,4.6,0.00,0.00,1016.0,874.2,0,1.04,6.0,335,19.4
2024-01-04T08:00,16.8,45,4.8,0.20,0.20,1014.9,873.4,13,1.05,6.5,326,20.2
