latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
27.732864,85.24719,1293.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),rain (mm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h)
2020-01-01T00:00,6.0,72,1.4,0.00,0.00,1021.9,874.4,94,0.26,4.3,175,16.9
2020-01-01T01:00,6.2,72,1.4,0.00,0.00,1022.7,875.1,95,0.27,5.1,176,16.2
2020-01-01T02:00,6.4,74,2.1,0.00,0.00,1023.2,875.7,93,0.25,5.8,173,18.0
2020-01-01T03:00,9.9,74,5.4,0.00,0.00,1024.5,878.4,91,0.32,5.8,173,18.4
2020-01-01T04:00,13.8,48,3.1,0.00,0.00,1025.0,880.7,89,0.81,1.8,143,16.6
2020-01-01T05:00,14.8,47,3.5,0.00,0.00,1024.4,880.7,82,0.90,1.3,56,12.6
2020-01-01T06:00,15.5,46,3.9,0.00,0.00,1023.5,880.2,75,0.95,1.5,104,12.6
2020-01-01T07:00,16.0,42,3.2,0.10,0.10,1022.0,879.1,46,1.05,2.2,99,24.1
2020-01-01T08:00,16.3,39,2.2,0.10,0.10,1020.9,878.3,43,1.14,1.8,90,20.9
2020-01-01T09:00,16.2,38,1.8,0.00,0.00,1020.4,877.8,88,1.15,1.8,90,13.0
2020-01-01T10:00,15.8,39,1.9,0.00,0.00,1020.3,877.6,96,1.10,0.8,117,11.5
2020-01-01T11:00,14.9,41,1.7,0.00,0.00,1020.9,877.7,95,1.00,1.8,180,7.6
2020-01-01T12:00,13.0,50,2.7,0.00,0.00,1021.4,877.3,94,0.76,3.4,198,10.8
2020-01-01T13:00,10.2,69,4.7,0.00,0.00,1022.2,876.6,76,0.39,2.9,187,10.1
2020-01-01T14:00,9.5,71,4.5,0.00,0.00,1023.0,877.0,91,0.34,2.5,180,10.8
2020-01-01T15:00,9.3,72,4.4,0.00,0.00,1023.5,877.3,92,0.33,1.8,180,10.4
2020-01-01T16:00,9.3,69,3.9,0.00,0.00,1023.8,877.6,95,0.37,2.9,173,11.9
2020-01-01T17:00,9.0,67,3.2,0.00,0.00,1023.9,877.5,93,0.38,3.6,174,14.0
2020-01-01T18:00,8.4,65,2.3,0.00,0.00,1023.9,877.2,99,0.38,4.3,175,15.1
2020-01-01T19:00,8.4,64,2.0,0.00,0.00,1024.0,877.3,95,0.40,4.0,170,15.1
2020-01-01T20:00,8.2,65,2.0,0.00,0.00,1023.5,876.8,97,0.38,2.9,173,13.7
2020-01-01T21:00,8.3,65,2.2,0.00,0.00,1023.2,876.6,93,0.38,2.6,164,11.9
2020-01-01T22:00,8.7,64,2.2,0.00,0.00,1022.4,876.1,95,0.41,3.4,162,13.7
2020-01-01T23:00,8.9,64,2.4,0.00,0.00,1022.4,876.2,97,0.41,3.8,163,14.0
2020-01-02T00:00,7.6,75,3.4,0.00,0.00,1022.4,875.6,85,0.26,5.8,176,15.1
2020-01-02T01:00,7.4,76,3.4,0.00,0.00,1023.5,876.4,99,0.25,4.7,171,18.4
2020-01-02T02:00,7.9,77,4.1,0.00,0.00,1024.2,877.2,81,0.25,4.3,175,16.6
2020-01-02T03:00,10.4,77,6.5,0.00,0.00,1025.3,879.4,95,0.29,4.7,171,15.1
2020-01-02T04:00,13.5,53,4.1,0.00,0.00,1025.6,881.1,86,0.73,1.8,79,14.0
2020-01-02T05:00,14.3,50,4.0,0.00,0.00,1025.0,880.9,92,0.82,3.3,49,15.1
2020-01-02T06:00,14.9,48,3.9,0.00,0.00,1023.9,880.2,100,0.88,1.8,79,15.1
2020-01-02T07:00,14.2,50,3.8,0.00,0.00,1022.8,879.0,100,0.82,0.8,63,12.6
2020-01-02T08:00,14.0,53,4.6,0.10,0.10,1021.9,878.1,99,0.75,1.6,27,9.7
2020-01-02T09:00,13.8,58,5.6,0.00,0.00,1021.4,877.6,95,0.67,2.1,31,11.5
2020-01-02T10:00,13.5,59,5.8,0.00,0.00,1020.9,877.1,93,0.63,1.8,37,10.4
2020-01-02T11:00,12.9,61,5.6,0.00,0.00,1021.0,876.9,96,0.58,1.8,360,8.6
2020-01-02T12:00,10.3,86,8.1,0.00,0.00,1021.7,876.2,99,0.17,3.4,148,10.8
2020-01-02T13:00,10.6,82,7.6,0.80,0.80,1022.7,877.3,57,0.23,1.8,169,12.6
2020-01-02T14:00,8.9,90,7.3,0.10,0.10,1023.5,877.1,50,0.12,3.3,167,19.1
2020-01-02T15:00,8.9,88,7.0,0.00,0.00,1023.3,877.0,49,0.14,3.8,163,15.5
2020-01-02T16:00,8.1,88,6.3,0.00,0.00,1023.5,876.7,41,0.13,3.9,158,16.9
2020-01-02T17:00,7.7,88,5.9,0.00,0.00,1023.0,876.1,47,0.13,4.0,153,16.9
2020-01-02T18:00,7.3,88,5.5,0.00,0.00,1022.3,875.3,96,0.12,4.7,157,19.1
2020-01-02T19:00,7.0,89,5.3,0.00,0.00,1021.6,874.6,96,0.11,6.0,163,21.6
2020-01-02T20:00,6.9,90,5.3,0.00,0.00,1021.0,874.0,100,0.10,6.5,174,22.0
2020-01-02T21:00,6.7,93,5.7,0.50,0.50,1020.7,873.7,100,0.07,5.7,162,27.7
2020-01-02T22:00,6.7,94,5.9,0.70,0.70,1020.5,873.5,100,0.06,4.6,162,23.8
2020-01-02T23:00,6.7,95,6.0,1.00,1.00,1020.6,873.6,100,0.05,4.8,153,24.8
2020-01-03T00:00,8.0,86,5.8,1.30,1.30,1020.7,874.3,100,0.15,5.6,140,28.4
2020-01-03T01:00,7.6,91,6.2,0.40,0.40,1021.0,874.4,97,0.10,7.0,145,26.6
2020-01-03T02:00,7.9,90,6.4,0.00,0.00,1021.1,874.6,100,0.11,7.8,146,25.9
2020-01-03T03:00,9.6,85,7.2,0.00,0.00,1021.7,875.9,100,0.18,8.3,146,28.8
